2026-07-05 02:33:54,764 | predict | INFO | ChurnPredictor initialized: model and feature columns loaded.
2026-07-05 02:33:54,813 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.8162, 'threshold_used': 0.3}
2026-07-05 02:36:40,213 | predict | INFO | ChurnPredictor initialized: model and feature columns loaded.
2026-07-05 02:46:11,764 | predict | INFO | ChurnPredictor initialized: model and feature columns loaded.
2026-07-05 02:46:19,128 | predict | INFO | ChurnPredictor initialized: model and feature columns loaded.
2026-07-05 02:46:24,889 | predict | INFO | ChurnPredictor initialized: model and feature columns loaded.
2026-07-05 02:46:51,470 | predict | INFO | ChurnPredictor initialized: model and feature columns loaded.
2026-07-05 02:47:37,559 | predict | INFO | ChurnPredictor initialized: model and feature columns loaded.
2026-07-05 02:47:47,571 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.8162, 'threshold_used': 0.3}
2026-07-05 02:48:27,577 | predict | INFO | Prediction made: {'churn_prediction': 0, 'churn_probability': 0.1696, 'threshold_used': 0.3}
2026-07-05 02:49:42,312 | predict | INFO | ChurnPredictor initialized: model and feature columns loaded.
2026-07-05 02:50:43,536 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.7867, 'threshold_used': 0.3}
2026-07-05 03:00:23,438 | predict | INFO | ChurnPredictor initialized: model and feature columns loaded.
2026-07-05 03:29:12,630 | predict | INFO | ChurnPredictor initialized: model and feature columns loaded.
2026-07-05 03:29:29,358 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.7867, 'threshold_used': 0.3}
2026-07-05 03:29:37,002 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.7867, 'threshold_used': 0.3}
2026-07-05 21:17:57,596 | predict | INFO | ChurnPredictor initialized: model and feature columns loaded.
2026-07-05 21:18:04,096 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.7867, 'threshold_used': 0.3}
2026-07-05 21:18:15,423 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.7835, 'threshold_used': 0.3}
2026-07-05 21:18:45,524 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.7867, 'threshold_used': 0.3}
2026-07-05 21:18:58,806 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.7867, 'threshold_used': 0.3}
2026-07-05 21:19:39,698 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.7867, 'threshold_used': 0.3}
2026-07-05 21:42:30,440 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.462, 'threshold_used': 0.3}
2026-07-05 21:42:41,359 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.6133, 'threshold_used': 0.3}
2026-07-05 21:42:51,888 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.6133, 'threshold_used': 0.3}
2026-07-05 21:42:59,580 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.7427, 'threshold_used': 0.3}
2026-07-05 21:43:10,226 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.6133, 'threshold_used': 0.3}
2026-07-05 21:43:24,481 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.6133, 'threshold_used': 0.3}
2026-07-05 21:43:42,316 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.6133, 'threshold_used': 0.3}
2026-07-05 21:43:55,001 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.7867, 'threshold_used': 0.3}
2026-07-05 21:44:01,889 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.6577, 'threshold_used': 0.3}
2026-07-05 21:44:11,352 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.5, 'threshold_used': 0.3}
2026-07-05 21:44:24,544 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.462, 'threshold_used': 0.3}
2026-07-05 21:44:33,945 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.6133, 'threshold_used': 0.3}
2026-07-08 01:56:27,069 | predict | INFO | ChurnPredictor initialized: model and feature columns loaded.
2026-07-08 02:00:28,716 | predict | INFO | ChurnPredictor initialized: model and feature columns loaded.
2026-07-08 02:01:18,942 | predict | INFO | ChurnPredictor initialized: model and feature columns loaded.
2026-07-08 02:01:35,418 | predict | INFO | ChurnPredictor initialized: model and feature columns loaded.
2026-07-08 02:03:31,500 | predict | INFO | ChurnPredictor initialized: model and feature columns loaded.
2026-07-08 02:08:03,246 | predict | INFO | ChurnPredictor initialized: model and feature columns loaded.
2026-07-08 02:08:39,508 | predict | INFO | Prediction made: {'churn_prediction': 1, 'churn_probability': 0.7867, 'threshold_used': 0.3}
